doy,tmin,tmax,rain,par,rh,lat,lon
72,18.374597,32.394342,0.000000,1800.245966,0.425835,-32.750000,148.750000
73,19.011774,35.461328,0.000000,1865.678748,0.559198,-32.750000,148.750000
74,21.376123,34.378076,0.000000,1791.628827,0.375076,-32.750000,148.750000
75,14.125085,32.124292,0.000000,1171.676910,0.283678,-32.750000,148.750000
76,13.734003,28.092004,0.000000,1910.359589,0.496355,-32.750000,148.750000
77,18.086694,33.157465,0.593124,1797.773999,0.558624,-32.750000,148.750000
78,16.753076,32.409448,0.000000,1615.335034,0.431567,-32.750000,148.750000
79,13.207605,27.765161,0.000000,1814.673187,0.619175,-32.750000,148.750000
80,12.842767,27.501886,0.000000,1812.287976,0.611514,-32.750000,148.750000
81,12.978448,26.451318,0.000000,1817.644489,0.600573,-32.750000,148.750000
82,13.802332,27.857629,0.000000,1795.157581,0.601977,-32.750000,148.750000
83,11.720605,26.254419,0.000000,1750.526715,0.638008,-32.750000,148.750000
84,10.283167,25.185114,0.000000,1729.753577,0.610639,-32.750000,148.750000
85,13.491144,27.326105,0.000000,1753.448322,0.506135,-32.750000,148.750000
86,18.013422,29.076501,0.000000,1740.888025,0.383879,-32.750000,148.750000
87,17.209833,30.656915,1.773289,1523.502930,0.561860,-32.750000,148.750000
88,16.111017,28.045099,5.450955,1366.268927,0.732823,-32.750000,148.750000
89,13.862146,30.396204,19.958775,1443.782745,0.728403,-32.750000,148.750000
90,9.702142,27.965570,0.000087,1594.712805,0.426549,-32.750000,148.750000
91,3.874170,21.396906,0.000000,1709.521606,0.539677,-32.750000,148.750000
92,4.574060,22.915063,0.000000,1826.368878,0.461901,-32.750000,148.750000
93,10.824365,27.321649,0.000000,1480.013361,0.277360,-32.750000,148.750000
94,14.303583,30.986627,0.000000,1091.694846,0.403244,-32.750000,148.750000
95,8.558099,28.223535,0.000084,1259.011914,0.472622,-32.750000,148.750000
96,3.526422,19.102655,0.000000,1736.782025,0.526029,-32.750000,148.750000
97,4.588129,22.234338,0.000000,1712.086505,0.674301,-32.750000,148.750000
98,2.604944,20.463586,0.000000,1674.957733,0.568664,-32.750000,148.750000
99,6.012750,21.667291,0.000000,1704.636212,0.492996,-32.750000,148.750000
100,3.590082,24.978204,0.000000,1676.300336,0.487268,-32.750000,148.750000
101,13.307031,28.703485,0.000000,1326.625513,0.450275,-32.750000,148.750000
102,12.750330,31.497430,0.069958,1581.111725,0.716968,-32.750000,148.750000
103,15.038416,31.140009,0.183407,1452.945825,0.737201,-32.750000,148.750000
104,9.368707,24.144617,2.098847,1226.336584,0.839331,-32.750000,148.750000
105,2.729211,17.685327,0.000000,1619.302338,0.558700,-32.750000,148.750000
106,6.719080,19.549005,0.000000,1628.261304,0.499592,-32.750000,148.750000
107,10.469659,23.388391,0.000000,1578.106171,0.666876,-32.750000,148.750000
108,10.738245,26.648523,0.011624,998.868915,0.746901,-32.750000,148.750000
109,14.185968,26.210168,0.290713,1341.476685,0.671194,-32.750000,148.750000
110,2.096216,24.027612,0.000000,1511.785620,0.483264,-32.750000,148.750000
111,-0.628668,19.067682,0.000000,1529.144836,0.562353,-32.750000,148.750000
112,-0.165045,18.476831,0.000000,1551.013367,0.494330,-32.750000,148.750000
113,2.669641,18.223627,0.000000,1505.964587,0.649179,-32.750000,148.750000
114,6.301691,22.382013,0.000000,1481.092609,0.573329,-32.750000,148.750000
115,5.689294,21.355310,0.000000,1456.988232,0.680291,-32.750000,148.750000
116,5.437463,22.491205,0.000000,1450.990460,0.671389,-32.750000,148.750000
117,7.364313,21.740198,0.000000,1435.909766,0.648084,-32.750000,148.750000
118,9.602991,22.544763,0.965558,1379.755176,0.655789,-32.750000,148.750000
119,6.959924,19.626917,0.363609,806.877664,0.936266,-32.750000,148.750000
120,9.525903,20.424036,0.218756,1225.619519,0.855292,-32.750000,148.750000
121,6.138116,18.303613,0.000000,1283.993390,0.875325,-32.750000,148.750000
122,4.597986,19.921198,0.000000,1452.564832,0.795218,-32.750000,148.750000
123,3.295129,21.143396,0.000000,1457.232495,0.708276,-32.750000,148.750000
124,4.891870,21.017877,0.000000,1449.305609,0.753725,-32.750000,148.750000
125,1.655420,23.564417,0.000000,1339.648364,0.670568,-32.750000,148.750000
126,8.626123,21.845331,0.000000,1431.394415,0.542510,-32.750000,148.750000
127,-1.230719,22.812952,0.000000,1400.819324,0.699317,-32.750000,148.750000
128,-3.603583,14.916528,0.000000,1430.133234,0.732363,-32.750000,148.750000
129,0.633752,17.296960,0.000000,1390.316309,0.653085,-32.750000,148.750000
130,5.237238,19.376764,0.000000,1361.813098,0.751067,-32.750000,148.750000
131,2.361200,20.725244,0.000000,1310.034460,0.755666,-32.750000,148.750000
132,4.882745,19.260980,0.000000,1309.392358,0.777526,-32.750000,148.750000
133,2.744470,18.783502,0.000000,1315.034265,0.742642,-32.750000,148.750000
134,6.684991,18.662805,0.000000,1295.018903,0.724458,-32.750000,148.750000
135,4.917017,20.007318,0.000000,1309.806903,0.774442,-32.750000,148.750000
136,6.036493,20.011041,0.000000,1316.626746,0.735573,-32.750000,148.750000
137,2.587213,20.375269,0.000000,1304.250909,0.759129,-32.750000,148.750000
138,6.908990,22.805170,0.000000,1282.707782,0.749558,-32.750000,148.750000
139,2.286523,22.129480,0.000000,1240.272192,0.731911,-32.750000,148.750000
140,4.678522,22.446252,0.000000,1213.542834,0.627209,-32.750000,148.750000
141,-1.355627,19.829675,0.000000,1243.514850,0.586319,-32.750000,148.750000
142,1.497095,15.605157,0.000000,1279.399286,0.682202,-32.750000,148.750000
143,3.763177,15.195367,0.000000,1215.492725,0.660205,-32.750000,148.750000
144,-0.521185,14.394464,0.000000,770.622833,0.858132,-32.750000,148.750000
145,1.921838,17.457117,0.000000,1184.612024,0.797473,-32.750000,148.750000
